Codcir,Codmun,Municipio,Censo Total,Votos Totales,Votos Nulos,Votos Blancos
23,92,Úbeda,27.732,17.003,346,275
23,93,Valdepeñas de Jaén,3.157,2.029,69,34
23,94,Vilches,3.750,2.646,60,38
23,95,Villacarrillo,8.586,5.286,77,38
23,96,Villanueva de la Reina,2.579,1.862,54,23
23,97,Villanueva del Arzobispo,6.344,3.454,48,26
23,98,Villardompardo,834,659,12,3
23,101,Villarrodrigo,354,216,3,0
23,903,Villatorres,3.489,2.273,28,16
23,990,Residentes Ausentes Jaén,12.437,408,1,4
29,1,Alameda,4.194,2.585,64,49
29,2,Alcaucín,1.148,692,17,9
29,3,Alfarnate,937,638,27,6
29,4,Alfarnatejo,296,191,5,2
29,5,Algarrobo,4.488,2.632,32,36
29,6,Algatocín,668,391,6,5
29,7,Alhaurín de la Torre,28.415,16.776,241,255
29,8,Alhaurín el Grande,15.024,8.806,134,128
29,9,Almáchar,1.430,924,32,9
29,10,Almargen,1.615,1.139,78,13
29,11,Almogía,2.857,1.450,23,10
29,12,Álora,9.722,5.859,167,81
29,13,Alozaina,1.590,1.088,33,14
29,14,Alpandeire,211,116,1,4
29,15,Antequera,32.003,18.831,372,269
29,16,Árchez,246,170,0,2
29,17,Archidona,6.413,4.140,142,63
29,18,Ardales,1.991,1.314,70,21
29,19,Arenas,861,594,15,8
29,20,Arriate,3.269,2.123,67,34
29,21,Atajate,153,86,1,1
29,22,Benadalid,170,110,1,1
29,23,Benahavís,2.252,1.132,10,2
29,24,Benalauría,374,192,6,4
29,25,Benalmádena,41.157,22.134,261,258
29,26,Benamargosa,1.013,610,14,12
29,27,Benamocarra,2.298,1.376,21,13
29,28,Benaoján,1.216,702,39,4
29,29,Benarrabá,378,247,4,3
29,32,Campillos,6.655,4.521,146,86
29,33,Canillas de Aceituno,1.080,637,11,14
29,34,Canillas de Albaida,468,340,3,2
29,35,Cañete la Real,1.504,957,31,5
29,36,Carratraca,615,347,11,7
